;Veroeffentlichungs-Nummer;Erfinder;Anmelder/Inhaber
2511;WO002019125578A1;SALVANT PHILLIP, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2512;WO002019125578A1;SEN MARAMI, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2513;WO002019125578A1;SHERIDAN CHRISTOPHER, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2514;WO002019122503A1;FITZGERALD EDWARD, GB;NOKIA TECHNOLOGIES OY, FI
2515;WO002019122503A1;MARTIN-LOPEZ ENRIQUE, GB;NOKIA TECHNOLOGIES OY, FI
2516;WO002019122503A1;PALYUTINA KARINA, GB;NOKIA TECHNOLOGIES OY, FI
2517;WO002019122503A1;ROENNOW TROELS, GB;NOKIA TECHNOLOGIES OY, FI
2518;WO002019120336A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2519;WO002019120334A2;XIE GUILU, CN;ALIBABA GROUP HOLDING LTD, CN
2520;WO002019120333A2;XIA NING, CN;ALIBABA GROUP HOLDING LTD, CN
2521;WO002019120333A2;XIE GUILU, CN;ALIBABA GROUP HOLDING LTD, CN
2522;WO002019120332A2;XIE GUILU, CN;ALIBABA GROUP HOLDING LTD, CN
2523;WO002019120331A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2524;WO002019120331A2;FENG ZHIYUAN, CN;ALIBABA GROUP HOLDING LTD, CN
2525;WO002019120331A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2526;WO002019120330A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2527;WO002019120330A2;FENG ZHIYUAN, CN;ALIBABA GROUP HOLDING LTD, CN
2528;WO002019120330A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2529;WO002019120329A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2530;WO002019120329A2;FENG ZHIYUAN, CN;ALIBABA GROUP HOLDING LTD, CN
2531;WO002019120329A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2532;WO002019120328A2;DU HUABING, CN;ALIBABA GROUP HOLDING LTD, CN
2533;WO002019120328A2;SONG XUYANG, CN;ALIBABA GROUP HOLDING LTD, CN
2534;WO002019120328A2;WEI CHANGZHENG, CN;ALIBABA GROUP HOLDING LTD, CN
2535;WO002019120328A2;YAN YING, CN;ALIBABA GROUP HOLDING LTD, CN
2536;WO002019120328A2;ZHAO BORAN, CN;ALIBABA GROUP HOLDING LTD, CN
2537;WO002019120327A2;DU HUABING, CN;ALIBABA GROUP HOLDING LTD, CN
2538;WO002019120327A2;SONG XUYANG, CN;ALIBABA GROUP HOLDING LTD, CN
2539;WO002019120327A2;WEI CHANGZHENG, CN;ALIBABA GROUP HOLDING LTD, CN
2540;WO002019120327A2;YAN YING, CN;ALIBABA GROUP HOLDING LTD, CN
2541;WO002019120327A2;ZHAO BORAN, CN;ALIBABA GROUP HOLDING LTD, CN
2542;WO002019120326A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2543;WO002019120326A2;FENG ZHIYUAN, CN;ALIBABA GROUP HOLDING LTD, CN
2544;WO002019120326A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2545;WO002019120323A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2546;WO002019120323A2;FENG ZHIYUAN, CN;ALIBABA GROUP HOLDING LTD, CN
2547;WO002019120323A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2548;WO002019120320A2;XIA NING, CN;ALIBABA GROUP HOLDING LTD, CN
2549;WO002019120320A2;XIE GUILU, CN;ALIBABA GROUP HOLDING LTD, CN
2550;WO002019120318A2;YU YIRONG, CN;ALIBABA GROUP HOLDING LTD, CN
2551;WO002019120317A2;QIU HONGLIN, CN;ALIBABA GROUP HOLDING LTD, CN
2552;WO002019120317A2;YU YIRONG, CN;ALIBABA GROUP HOLDING LTD, CN
2553;WO002019120315A2;DU HUABING, CN;ALIBABA GROUP HOLDING LTD, CN
2554;WO002019120315A2;PAN GUOZHEN, CN;ALIBABA GROUP HOLDING LTD, CN
2555;WO002019120315A2;SONG XUYANG, CN;ALIBABA GROUP HOLDING LTD, CN
2556;WO002019120315A2;TU YICHEN, CN;ALIBABA GROUP HOLDING LTD, CN
2557;WO002019120315A2;WEI CHANGZHENG, CN;ALIBABA GROUP HOLDING LTD, CN
2558;WO002019120315A2;XU JIANGUO, CN;ALIBABA GROUP HOLDING LTD, CN
2559;WO002019120315A2;YAN YING, CN;ALIBABA GROUP HOLDING LTD, CN
2560;WO002019120315A2;ZHAO BORAN, CN;ALIBABA GROUP HOLDING LTD, CN
2561;WO002019120315A2;ZHOU NI, CN;ALIBABA GROUP HOLDING LTD, CN
2562;WO002019118229A1;CANTRELL ROBERT L, US;WALMART APOLLO LLC, US
2563;WO002019118229A1;HIGH DONALD R, US;WALMART APOLLO LLC, US
2564;WO002019118229A1;MATTINGLY TODD D, US;WALMART APOLLO LLC, US
2565;WO002019118229A1;MCHALE BRIAN G, GB;WALMART APOLLO LLC, US
2566;WO002019118229A1;O'BRIEN JOHN J, US;WALMART APOLLO LLC, US
2567;WO002019118123A1;SAFAK ILGIN, US;MASTERCARD INTERNATIONAL INC, US
2568;WO002019116249A1;BARTOLUCCI SILVIA, GB;NCHAIN HOLDINGS LTD, AG
2569;WO002019116249A1;FLETCHER JOHN, GB;NCHAIN HOLDINGS LTD, AG
2570;WO002019112714A1;ARORA ANKUR, IN;MASTERCARD INTERNATIONAL INC, US
2571;WO002019112714A1;KUMAR MANISH, IN;MASTERCARD INTERNATIONAL INC, US
2572;WO002019112714A1;SENGUPTA SHUVAM, IN;MASTERCARD INTERNATIONAL INC, US
2573;WO002019112713A1;ARORA ANKUR, IN;MASTERCARD INTERNATIONAL INC, US
